"","species","count","percent"
"1","s__Debaryomyces hansenii",41,1.50735294117647
"2","s__Delftia lacustris",372,13.6764705882353
"3","s__Enterobacter hormaechei",745,27.3897058823529
"4","s__Fusobacterium nucleatum",443,16.2867647058824
"5","s__Mannheimia sp. USDA-ARS-USMARC-1261",4,0.147058823529412
"6","s__Moraxella osloensis",976,35.8823529411765
"7","s__Myroides profundi",10,0.367647058823529
"8","s__Nocardia mangyaensis",18,0.661764705882353
"9","s__Plasmodium sp. gorilla clade G2",171,6.28676470588235
"10","s__Porphyromonas asaccharolytica",101,3.71323529411765
"11","s__Pseudomonas fluorescens",638,23.4558823529412
"12","s__Snyder-Theilen feline sarcoma virus",2,0.0735294117647059
"13","s__Theileria annulata",82,3.01470588235294
